5.62,014.68286462,-11.37993895,6.828,5.721,0.949,0.96
5.69,015.01477994,+44.71330426,5.639,5.649,-0.010,0.01
5.59,015.32593934,-38.91664868,7.124,5.720,1.185,1.17
5.50,015.60990729,-31.55204219,5.619,5.518,0.083,0.10
5.50,015.70452742,+31.80433674,5.442,5.491,-0.043,-.02
5.39,015.70496560,-46.39733801,6.524,5.490,0.900,0.86
5.95,015.72614941,+41.34519861,6.155,5.960,0.161,0.17
4.27,015.73606615,+07.89007256,5.496,4.381,0.952,0.98
5.40,015.76085267,-04.83635047,6.851,5.528,1.106,1.12
5.92,015.90419820,+61.07482982,6.550,6.012,0.512,0.58
5.99,016.00995036,+52.50230919,7.893,6.158,1.447,1.45
5.83,016.08145357,+61.58024409,6.515,5.902,0.569,0.64
5.64,016.27229777,+14.94600386,6.131,5.686,0.420,0.49
5.33,016.42053152,+21.47321620,5.319,5.317,0.003,0.02
5.55,016.42365838,+21.46547318,5.470,5.527,-0.048,-.03
3.32,016.52127713,-46.71849042,4.446,3.416,0.885,0.90
5.58,016.52137513,-09.83936845,5.588,5.579,0.009,0.03
5.36,016.82738598,-61.77526197,6.450,5.443,0.884,0.80
5.71,016.94216802,-09.78559168,6.235,5.762,0.446,0.52
5.21,016.94927201,-41.48693516,5.406,5.230,0.159,0.19
5.56,016.98795829,+20.73932115,5.715,5.581,0.121,0.14
5.04,017.00299391,+43.94224107,5.189,5.055,0.109,0.12
5.51,017.09309979,+05.65022130,5.910,5.550,0.334,0.41
3.94,017.09608370,-55.24583235,3.854,3.958,-0.120,-.08
5.77,017.13936547,+58.26347937,5.748,5.771,-0.019,0.00
3.46,017.14693197,-10.18192800,4.963,3.585,1.161,1.11
4.24,017.18399735,+86.25711803,5.838,4.376,1.213,1.16
4.26,017.37550908,+47.24182410,4.181,4.246,0.012,-.02
2.07,017.43248991,+35.62083048,4.167,2.264,1.576,1.74
5.57,017.45502008,+19.65838540,6.427,5.640,0.697,0.75
5.67,017.57852966,+42.08157668,6.399,5.738,0.603,0.67
5.81,017.58103932,+25.45803989,7.735,5.975,1.466,1.53
5.97,017.63982219,+02.44570842,7.921,6.130,1.491,1.51
5.32,017.66360631,+68.77868759,5.299,5.316,-0.014,0.01
4.34,017.77471116,+55.14994765,4.552,4.355,0.170,0.19
5.15,017.77822190,+31.42476555,5.462,5.185,0.261,0.29
5.80,017.79287081,+37.72413814,5.664,5.774,-0.095,-.08
5.56,017.85631897,+64.20272388,5.484,5.545,-0.052,-.03
4.66,017.86330901,+21.03467568,5.966,4.773,1.024,0.99
4.51,017.91494471,+30.08972962,5.928,4.639,1.092,1.05
5.57,017.92237013,+65.01888517,5.472,5.556,-0.072,-.05
5.93,017.93142731,-02.25102487,7.774,6.092,1.403,1.39
5.60,018.06878934,+79.67397492,5.635,5.594,0.008,0.03
5.95,018.18902960,-37.85640391,6.287,5.974,0.281,0.32
5.21,018.43250986,+07.57548895,5.530,5.231,0.320,0.37
4.67,018.43723014,+24.58376482,6.012,4.786,1.047,1.02
5.97,018.53186747,+16.13354221,5.851,5.948,-0.082,-.06
5.14,018.59986241,-07.92350040,5.668,5.196,0.448,0.54
5.70,018.70491873,-00.97429411,6.217,5.751,0.428,0.50
4.97,018.79403213,-45.53209717,5.656,5.030,0.571,0.62
5.87,019.04959061,+71.74384538,8.424,6.133,2.042,2.08
5.42,019.15144476,-02.50021280,6.542,5.524,0.888,0.89
5.13,019.44993370,+03.61452038,5.239,5.153,0.071,0.11
4.74,019.86657455,+27.26408682,4.813,4.757,0.032,0.10
5.87,019.95121720,-00.50899490,6.462,5.744,0.635,0.70
4.95,020.02049027,+58.23161610,5.765,5.072,0.683,0.93
5.23,020.28064145,+28.73838983,7.064,5.387,1.396,1.37
4.87,020.58497087,+45.52875660,6.258,4.989,1.077,1.04
5.97,020.85396862,+20.46898990,8.205,6.181,1.677,1.70
5.84,020.87903356,-30.94550599,7.923,6.016,1.612,1.93
5.60,020.91898254,+37.71499034,5.934,5.624,0.276,0.29
3.60,021.00604671,-08.18275372,4.978,3.732,1.065,1.05
5.92,021.08535375,-06.91466853,6.398,5.961,0.407,0.47
5.42,021.16988858,-41.49245885,6.746,5.536,1.030,1.03
5.92,021.27198122,-64.36943630,7.950,6.093,1.561,1.69
4.90,021.40503869,-14.59875437,6.507,5.049,1.231,1.29
2.66,021.45251267,+60.23540347,2.869,2.694,0.160,0.19
4.72,021.48293404,+68.12994739,6.079,4.842,1.047,1.01
5.35,021.56366085,+19.17232096,5.796,5.392,0.395,0.46
5.98,021.57749566,+43.45788606,6.582,6.034,0.520,0.59
5.50,021.67352916,+19.24056476,6.925,5.622,1.106,1.04
5.51,021.71481835,-13.05653391,5.880,5.547,0.321,0.37
4.83,021.91285470,+45.40695287,5.342,4.879,0.421,0.49
3.41,022.09142360,-43.31772906,5.491,3.624,1.542,1.73
5.11,022.40041765,-21.62934677,5.145,5.114,0.028,0.04
5.27,022.52542506,+47.00737711,6.543,5.374,0.999,0.98
4.84,022.54559597,+06.14393314,6.637,4.997,1.372,1.42
5.92,022.59531980,-26.20785462,7.683,6.087,1.327,1.30
5.82,022.80632718,+70.26478860,6.388,5.878,0.489,0.56
3.93,022.81242306,-49.07307701,5.191,4.051,0.972,1.00
3.62,022.87080776,+15.34583101,4.866,3.735,0.974,0.94
5.79,022.93021487,-30.28292502,7.159,5.908,1.073,1.05
5.49,023.23355059,-36.86518161,6.796,5.610,1.021,1.00
5.69,023.35711597,+58.32734523,7.607,5.888,1.435,1.43
5.75,023.42805448,-07.02514279,6.537,5.828,0.639,0.68
4.68,023.48302496,+59.23209665,5.957,4.796,0.991,1.01
5.90,023.56915511,+37.23719753,5.807,5.885,-0.067,-.04
5.62,023.65717247,-15.67635270,5.699,5.626,0.066,0.08
5.90,023.70436400,+18.46067238,7.888,6.080,1.536,1.84
5.95,023.97777176,+17.43378965,6.250,5.978,0.259,0.29
5.41,023.99565496,-15.40021584,7.030,5.548,1.226,1.15
5.69,024.03512124,-29.90743360,6.107,5.739,0.335,0.39
4.10,024.19990413,+41.40638491,4.748,4.159,0.536,0.58
5.54,024.27483902,+12.14151058,5.950,5.584,0.347,0.42
5.66,024.36574940,-84.76965017,6.855,5.776,0.939,1.02
0.45,024.42813204,-57.23666007,0.458,0.522,-0.158,-.17
5.88,024.47908355,-82.97528876,6.626,5.950,0.620,0.66
3.59,024.49792651,+48.62848641,5.257,3.732,1.275,1.23
5.55,024.53151544,+57.97764488,7.352,5.700,1.388,1.31
5.94,024.61455891,-36.52795330,7.289,6.054,1.045,1.00
5.28,024.62892127,+73.04007203,6.515,5.385,0.972,0.96
5.58,024.71544923,-21.27547447,5.972,5.616,0.346,0.41
5.01,024.83757938,+44.38612827,6.117,5.108,0.883,0.89
5.98,024.91986640,+16.40588595,7.462,6.115,1.119,1.11
5.76,024.94684603,-56.19644067,6.994,5.951,0.880,0.93
4.96,025.14501739,+40.57710624,4.844,4.950,-0.068,-.06
5.63,025.16483499,+43.29776385,5.900,5.664,0.214,0.24
4.45,025.35794814,+05.48760445,6.219,4.594,1.347,1.37
5.97,025.41350900,+30.04713542,7.277,6.077,1.015,0.94
5.75,025.43665870,-11.32366816,6.297,5.842,0.443,0.51
4.96,025.44381547,+42.61380692,5.717,5.031,0.618,0.67
5.70,025.44980076,-60.78924102,7.330,5.841,1.264,1.20
